"OWNER_CODE","DISCOVERY_DOY","FIRE_SIZE","LATITUDE","LONGITUDE","STAT_CAUSE_DESCR"
13,188,0.1,46.34027778,-91.36527778,"Debris Burning"
5,338,5.6,37.26388889,-119.56694444,"Debris Burning"
13,12,10,29.21,-81.90527778,"Debris Burning"
13,144,0.1,38.88444444,-120.36694444,"Debris Burning"
13,147,3,44.59222222,-83.57388889,"Debris Burning"
13,124,1,43.71944444,-85.81888889,"Debris Burning"
13,250,0.1,47.07194444,-114.43972222,"Debris Burning"
13,140,0.1,40.74583333,-121.49583333,"Debris Burning"
13,135,0.03,42.41583333,-105.35416667,"Debris Burning"
14,283,0.2,37.54111111,-119.8675,"Debris Burning"
14,96,0.25,39.81888889,-120.4525,"Debris Burning"
5,161,0.1,40.41388889,-123.51722222,"Debris Burning"
13,64,23,37.81638889,-91.05777778,"Debris Burning"
14,97,165,30.6825,-89.41527778,"Debris Burning"
13,59,0.5,35.26388889,-83.835,"Debris Burning"
13,137,0.1,40.90222222,-122.78388889,"Debris Burning"
13,93,51,37.03694444,-92.1475,"Debris Burning"
13,152,0.1,41.26527778,-123.83027778,"Debris Burning"
13,26,27,37.36361111,-91.26166667,"Debris Burning"
14,170,0.5,39.79805556,-120.48055556,"Debris Burning"
13,74,0.25,29.08916667,-81.84222222,"Debris Burning"
13,86,9,44.50694444,-83.89083333,"Debris Burning"
13,182,0.1,40.8775,-123.52416667,"Debris Burning"
14,314,0.5,30.69972222,-89.22444444,"Debris Burning"
13,222,0.1,47.16583333,-114.85166667,"Debris Burning"
5,215,0.5,45.2075,-121.43166667,"Debris Burning"
13,301,13,38.11916667,-120.2975,"Debris Burning"
13,109,4,43.95416667,-86.10027778,"Debris Burning"
13,203,0.1,40.92388889,-123.6225,"Debris Burning"
13,329,6,34.67416667,-83.91055556,"Debris Burning"
13,82,2,36.02222222,-82.55333333,"Debris Burning"
13,77,0.1,43.5675,-85.95722222,"Debris Burning"
13,120,5818,44.51,-84.19,"Debris Burning"
14,352,1.5,35.875,-81.74861111,"Debris Burning"
13,346,0.7,40.80277778,-122.3375,"Debris Burning"
14,98,0.5,35.11694444,-83.51944444,"Debris Burning"
14,314,1,35.04388889,-83.19027778,"Debris Burning"
6,177,0.25,38.40138889,-120.10944444,"Debris Burning"
13,104,0.5,43.65583333,-85.81888889,"Debris Burning"
13,88,4,44.08666667,-86.1775,"Debris Burning"
13,117,1,35.95611111,-81.89666667,"Debris Burning"
5,129,0.1,44.21555556,-118.85333333,"Debris Burning"
13,97,1,48.89388889,-115.00111111,"Debris Burning"
14,84,1.5,36.02138889,-81.65694444,"Debris Burning"
13,122,0.2,30.02333333,-84.97916667,"Debris Burning"
13,302,2.5,46.47777778,-91.28111111,"Debris Burning"
14,99,3.2,37.17944444,-89.29333333,"Debris Burning"
13,71,15,34.94777778,-83.82722222,"Debris Burning"
13,106,0.2,47.71055556,-94.12444444,"Debris Burning"
13,247,1,39.49416667,-82.28166667,"Debris Burning"
13,124,0.1,47.50583333,-93.56694444,"Debris Burning"
13,40,2,34.74972222,-76.84055556,"Debris Burning"
13,365,0.2,35.80805556,-82.16166667,"Debris Burning"
13,124,0.1,33.39444444,-116.79972222,"Debris Burning"
13,111,0.1,47.16944444,-114.87,"Debris Burning"
13,74,2.5,31.15833333,-93.975,"Debris Burning"
13,41,200,34.86666667,-77.15,"Debris Burning"
13,143,0.1,45.33,-88.59888889,"Debris Burning"
13,82,0.3,43.67888889,-85.80333333,"Debris Burning"
13,223,0.01,39.39916667,-121.07083333,"Debris Burning"
14,77,66,35.42333333,-83.49,"Debris Burning"
13,93,0.25,40.62611111,-123.44361111,"Debris Burning"
13,106,210,37.59027778,-91.165,"Debris Burning"
5,84,1,31.1625,-93.97083333,"Debris Burning"
13,291,0.25,35.31555556,-83.86166667,"Debris Burning"
5,91,10,43.88916667,-73.06333333,"Debris Burning"
6,125,0.1,34.56777778,-119.95194444,"Equipment Use"
14,271,0.1,34.34805556,-118.50333333,"Equipment Use"
13,113,2,35.08333333,-83.65194444,"Equipment Use"
13,71,0.1,34.29055556,-116.81027778,"Equipment Use"
14,199,0.1,34.36416667,-118.50361111,"Equipment Use"
14,323,0.1,34.44888889,-118.35555556,"Equipment Use"
14,328,0.1,34.77361111,-118.7625,"Equipment Use"
5,192,0.1,37.04472222,-119.41,"Equipment Use"
5,282,0.25,34.53583333,-112.14083333,"Equipment Use"
5,246,0.5,34.78805556,-89.33222222,"Equipment Use"
5,186,0.1,34.36,-117.43555556,"Equipment Use"
5,215,7.32,36.90555556,-93.11361111,"Equipment Use"
5,309,5.25,30.37861111,-82.34027778,"Equipment Use"
14,246,0.1,34.53222222,-118.64361111,"Equipment Use"
13,198,270,45.63055556,-116.27083333,"Equipment Use"
5,188,0.1,45.95944444,-89.00944444,"Equipment Use"
13,216,4,40.61694444,-123.43583333,"Equipment Use"
13,194,3,45.685,-88.96111111,"Equipment Use"
5,171,0.1,34.19166667,-109.6275,"Equipment Use"
5,129,0.1,41.63527778,-79.09333333,"Equipment Use"
5,247,0.1,42.435,-121.865,"Equipment Use"
14,302,6,30.70444444,-89.2025,"Equipment Use"
6,312,1,33.33305556,-81.59166667,"Equipment Use"
14,78,0.1,35.62333333,-82.22333333,"Equipment Use"
13,228,41,40.43555556,-123.46944444,"Equipment Use"
5,160,0.1,34.28722222,-111.34083333,"Equipment Use"
5,253,1.5,47.58333333,-103.66111111,"Equipment Use"
5,322,0.1,33.61805556,-117.42611111,"Equipment Use"
14,302,0.5,34.29305556,-118.41361111,"Equipment Use"
14,202,340,34.89527778,-118.91972222,"Equipment Use"
5,219,0.21,47.62972222,-93.76888889,"Equipment Use"
5,58,0.01,33.83166667,-111.47277778,"Equipment Use"
5,163,0.1,38.84111111,-120.37,"Equipment Use"
5,108,0.1,36.13361111,-105.53055556,"Equipment Use"
14,151,0.5,33.92694444,-116.79166667,"Equipment Use"
14,246,40,34.40777778,-117.50277778,"Equipment Use"
5,173,0.1,43.82083333,-103.74777778,"Equipment Use"
14,305,0.1,34.48027778,-118.29083333,"Equipment Use"
13,246,0.1,45.52166667,-88.61333333,"Equipment Use"
13,84,0.1,34.2575,-116.81277778,"Equipment Use"
